ARUNDA LIVE DATA ENTRYPOINT FORENSIC v0.2
====================================================================================================
Project Directory : C:\Users\ASUS\ArundaTrader
Started UTC       : 2026-08-26T23:59:15.793856+00:00
Finished UTC      : 2026-08-26T23:59:24.136959+00:00
Mode              : READ ONLY
Database          : NOT USED
Network           : NOT USED
Production Run    : NOT PERFORMED
File Modification : NOT PERFORMED
====================================================================================================
Python Files Scanned : 853
Syntax PASS          : 802
Syntax FAIL          : 51
====================================================================================================
LIVE DATA ENTRYPOINT CANDIDATES
====================================================================================================
.venv\Lib\site-packages\pip\_internal\build_env\installer.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\__main__.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\_emoji_codes.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\color.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\console.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\rich\default_styles.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\errors.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\live.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\rich\live_render.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\progress.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\rich\prompt.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\spinner.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\rich\status.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\truststore\_api.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\__init__.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\_request_methods.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\connection.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\urllib3\connectionpool.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\emscripten\connection.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\emscripten\fetch.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\emscripten\response.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\pyopenssl.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\contrib\socks.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\exceptions.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\fields.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\http2\connection.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\poolmanager.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\response.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\util\connection.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\util\request.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssl_match_hostname.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\util\ssltransport.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\util\timeout.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\urllib3\util\wait.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
analyze_market.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_CLEANUP_CANDIDATE_INVENTORY_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_LIVE_SNAPSHOT_FRESHNESS_CAUSALITY_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
arunda_pipeline.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_PROJECT_NONPRODUCTION_SYNTAX_FAILURE_QUARANTINE_GATE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_PROJECT_STATE_BACKUP_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
arunda_recorder.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
arunda_snapshot_feature_contract_v0_1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_SNAPSHOT_FEATURE_FUTURE_OUTCOME_RELATIONSHIP_VALIDATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_SNAPSHOT_FEATURE_HUNTER_SIGNAL_IDENTITY_TRACE_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_SNAPSHOT_INDICATOR_VALIDATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
arunda_source_engine.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_HISTORICAL_ELIGIBILITY_UPSTREAM_CONTRACT_CONSUMER_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_ELIGIBILITY_FRONTIER_DISCOVERY_ISOLATION_EXECUTION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_INFORMATION_ARMS_EXACT_ENTRYPOINT_TRACE_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_INFORMATION_ARMS_RUNTIME_BOUNDARY_TRACE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_INFORMATION_ARMS_RUNTIME_VERIFICATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_PAPER_EXECUTION_SAFETY_GATE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_INDEPENDENT_SNAPSHOT_FROM_LAUNCH_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_PAPER_INDEPENDENT_SNAPSHOT_LAUNCH_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_PAPER_ISOLATED_LAUNCH_LIFECYCLE_PIPELINE_EXECUTION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_ISOLATED_TRADE_PLAN_STOP_TP_EXECUTION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_ISOLATED_TRADE_PLAN_STOP_TP_ISOLATION_ADAPTER_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_LIFECYCLE_STATE_CAPTURE_FROM_ISOLATED_LAUNCH_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_PAPER_LIFECYCLE_STATE_CAPTURE_FROM_ISOLATED_LAUNCH_v0.2.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_DRAWDOWN_EQUITY_CURVE_PERFORMANCE_RISK_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_PERFORMANCE_ATTRIBUTION_PNL_CONSISTENCY_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_PERFORMANCE_METRICS_TRADE_STATISTICS_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_PERFORMANCE_STABILITY_RISK_ADJUSTED_METRICS_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_RISK_GOVERNANCE_READINESS_GATE_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_RISK_LIMITS_CIRCUIT_BREAKER_GATE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_RISK_REGIME_STABILITY_STRESS_RESPONSE_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_RISK_REGIME_TRANSITION_STRESS_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_SNAPSHOT_CAPTURE_TEMPORAL_CONTINUITY_OBSERVATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_STATE_EXPOSURE_RISK_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_TEMPORAL_EVIDENCE_ACCUMULATION_SNAPSHOT_COHERENCE_GATE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_TEMPORAL_PERFORMANCE_WINDOW_RISK_REGIME_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_PORTFOLIO_TEMPORAL_STATE_RISK_TRANSITION_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_POSITION_MONITORING_DYNAMIC_EXIT_MTM_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_TRADE_OUTCOME_PNL_RECONCILIATION_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_PAPER_TRADE_SIMULATION_POSITION_LIFECYCLE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_SIGNAL_ELIGIBILITY_NO_TRADE_GATE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_SIGNAL_ELIGIBLE_SIGNAL_PATH_VERIFICATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ELIGIBLE_SIGNAL_REPLAY_VERIFICATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ELIGIBLE_SIGNAL_REPLAY_VERIFICATION_v0.3.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_EXECUTION_DRY_RUN_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_EXECUTION_GATE_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_EXECUTION_ORDER_INTENT_VALIDATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_EXECUTION_RUNTIME_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ORDER_INTENT_EXECUTION_GATE_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ORDER_INTENT_EXECUTION_PREFLIGHT_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ORDER_INTENT_GENERATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ORDER_INTENT_RELEASE_PREFLIGHT_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ORDER_INTENT_RELEASE_PREFLIGHT_v0.2.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SIGNAL_ORDER_INTENT_VALIDATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_SNAPSHOT_FRESHNESS_SOURCE_ROW_CAUSALITY_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_TRADE_CANDIDATE_RANKING_MULTI_ASSET_DECISION_GATE_ISOLATION_EXECUTION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
ARUNDA_TRADER_LIVE_TRADE_CANDIDATE_RANKING_MULTI_ASSET_GATE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_TRADE_PLAN_STOP_TP_CONTRACT_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_LIVE_TRADE_RISK_POSITION_SIZING_GATE_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
ARUNDA_TRADER_PREREQUISITE_RESOLUTION_VERIFIED_ELIGIBILITY_REPORT_DISCOVERY_ISOLATED_STAGING_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
backup_project.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
catalyst_engine.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
check_market.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
coinalyze_positioning.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
data_quality.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
execution_contract.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
execution_engine.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
feature_engine.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
fusion_engine.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
history_query_layer.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
hunter_filter.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
hunter_recorder.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
indicator_convention_reconstruction_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
indicator_repair_backups\20260821_173909\market_data_engine.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
indicator_standard_convention_reconstruction_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
indicator_standard_convention_reconstruction_v0.2.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
inspect_db.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
LIVE_LAUNCH_HARNESS_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
lunar_hunter.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
lunarcrush.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
market_adapter.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
market_data.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
market_data_engine.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
market_entry_stop_adapter.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
market_recorder.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
market_scanner.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
news_adapter.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
opportunity_engine.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
orderbook.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
orderbook_weighted.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
OUTCOME_v0.3_HORIZON_RUNTIME_VERIFICATION_v0.1.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
OUTCOME_v0.3_LAUNCH_READINESS_GATE_v0.3.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
OUTCOME_v0.3_LIVE_DATA_SOURCE_HEALTH_ARM_AVAILABILITY_CONTRACT_v0.1.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
portfolio_risk_contract.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
portfolio_risk_engine.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
position_sizing_engine.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
signal_outcome_engine.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
